Country Name,Number of ATMs per 1000
Aruba,117.9175054
Andorra,
Afghanistan,0.779998588
Angola,20.49138645
Albania,34.57135225
Arab World,24.70769769
United Arab Emirates,61.90939719
Argentina,58.84163326
Armenia,56.72581229
American Samoa,
Antigua and Barbuda,80.19830854
Australia,160.1377796
Austria,119.0947236
Azerbaijan,35.08258631
Burundi,1.352709703
Belgium,93.65316117
Benin,4.329762591
Burkina Faso,3.209420004
Bangladesh,5.645838195
Bulgaria,90.88972718
Bahrain,
"Bahamas, The",110.5103992
Bosnia and Herzegovina,43.25683305
Belarus,54.60959498
Belize,40.79637932
Bermuda,
Bolivia,34.79139764
Brazil,114.7938226
Barbados,43.36475453
Brunei Darussalam,79.27108203
Bhutan,22.15737138
Botswana,27.37250525
Central African Republic,
Canada,221.1264571
Central Europe and the Baltics,63.45685193
Switzerland,97.61122146
Channel Islands,
Chile,56.36473441
China,54.43558496
Cote d'Ivoire,6.74520842
Cameroon,3.528903639
"Congo, Rep.",6.846199547
Colombia,40.08203145
Comoros,5.018360654
Cabo Verde,47.51544252
Costa Rica,79.61476027
Caribbean small states,35.92560881
Cuba,
Curacao,
Cayman Islands,
Cyprus,53.09961175
Czech Republic,49.56195597
Germany,123.0566966
Djibouti,7.32529595
Dominica,47.82577271
Denmark,54.01407708
Dominican Republic,33.96431171
Algeria,7.491266182
East Asia & Pacific (excluding high income),23.15988452
Early-demographic dividend,24.09126898
East Asia & Pacific,52.17454016
Europe & Central Asia (excluding high income),55.18735696
Europe & Central Asia,61.0595173
Ecuador,23.70787016
"Egypt, Arab Rep.",12.14308411
Euro area,84.72364451
Eritrea,
Spain,118.6190505
Estonia,76.63463073
Ethiopia,
European Union,70.89178668
Fragile and conflict affected situations,3.10863461
Finland,35.82047209
Fiji,44.51823663
France,108.0256923
Faroe Islands,
"Micronesia, Fed. Sts.",14.68709152
Gabon,
United Kingdom,129.7599728
Georgia,69.61601257
Ghana,8.177113092
Gibraltar,
Guinea,1.621895244
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,8.245183606
Greece,59.43240088
Grenada,47.38426074
Greenland,
Guatemala,33.83186091
Guam,
Guyana,16.22550089
High income,67.94390032
"Hong Kong SAR, China",
Honduras,24.72169938
Heavily indebted poor countries (HIPC),4.358730373
Croatia,117.1560971
Haiti,
Hungary,57.87707471
IBRD only,48.46602508
IDA & IBRD total,24.70769769
IDA total,6.526485151
IDA blend,8.507331345
Indonesia,49.48287374
IDA only,5.553703485
Isle of Man,
India,17.80236482
Not classified,
Ireland,84.72364451
"Iran, Islamic Rep.",56.50935177
Iraq,1.604170419
Iceland,71.39152825
Israel,123.0731712
Italy,92.39262135
Jamaica,31.40330827
Jordan,29.93167423
Japan,127.4543904
Kazakhstan,72.08291818
Kenya,10.06365212
Kyrgyz Republic,24.80369352
Cambodia,10.87709363
Kiribati,
St. Kitts and Nevis,89.83845443
"Korea, Rep.",283.0309767
Kosovo,37.03391018
Kuwait,56.09361585
Latin America & Caribbean (excluding high income),34.79139764
Lao PDR,19.92494859
Lebanon,37.61128235
Liberia,1.783516031
Libya,
St. Lucia,45.58014984
Latin America & Caribbean,40.26497039
Least developed countries: UN classification,4.640411591
Low income,3.718843537
Liechtenstein,
Sri Lanka,16.86753879
Lower middle income,16.46065017
Low & middle income,23.35951464
Lesotho,11.24206169
Late-demographic dividend,55.76511895
Lithuania,51.14547732
Luxembourg,105.2589974
Latvia,62.68663372
"Macao SAR, China",225.0142866
St. Martin (French part),
Morocco,25.28859791
Monaco,
Moldova,36.12739994
Madagascar,2.049491861
Maldives,26.85942106
Middle East & North Africa,29.93167423
Mexico,48.46602508
Marshall Islands,5.909442451
Middle income,32.06961379
"Macedonia, FYR",55.76511895
Mali,4.22826707
Malta,56.54420973
Myanmar,1.641344869
Middle East & North Africa (excluding high income),23.10970068
Montenegro,71.1608389
Mongolia,58.57870614
Northern Mariana Islands,
Mozambique,8.894808271
Mauritania,7.800900772
Mauritius,45.01605609
Malawi,4.922092808
Malaysia,52.17454016
North America,221.1264571
Namibia,53.63755658
New Caledonia,
Niger,1.276541783
Nigeria,16.05376155
Nicaragua,11.36845572
Netherlands,53.49229228
Norway,48.30580348
Nepal,8.819263449
Nauru,
New Zealand,70.88509483
OECD members,80.67913762
Oman,
Other small states,45.01605609
Pakistan,7.546119443
Panama,61.35712987
Peru,54.95874565
Philippines,23.35951464
Palau,47.55465692
Papua New Guinea,7.958284005
Poland,63.45685193
Pre-demographic dividend,4.279014831
Puerto Rico,
"Korea, Dem. People�s Rep.",
Portugal,176.8102619
Paraguay,24.09126898
Pacific island small states,
Post-demographic dividend,93.02289126
French Polynesia,
Qatar,65.30780787
Romania,65.14894264
Russian Federation,185.1645599
Rwanda,5.553703485
South Asia,8.182691446
Saudi Arabia,70.57999277
Sudan,4.167777358
Senegal,4.959546952
Singapore,59.46405533
Solomon Islands,11.32492965
Sierra Leone,
El Salvador,33.79287726
San Marino,213.982081
Somalia,
Serbia,44.19493373
Sub-Saharan Africa (excluding high income),5.42673581
South Sudan,0.976700019
